GAUGE,YEAR_OPENE,InLine_FID,SimLnFLag,POINT_X,POINT_Y
2.6,1922,113,0,68.20686933,27.55190145
2.6,1922,113,0,67.99916933,27.59230145
2.6,1922,113,0,67.91236933,27.85820145
2.6,1922,114,0,70.22416933,32.26330145
2.6,1922,114,0,70.29466933,32.40830145
2.6,1923,115,0,73.68496933,22.10530145
2.6,1923,115,0,73.60076933,22.08810145
2.6,1923,116,0,73.68496933,22.10530145
2.6,1923,116,0,73.78896933,21.94290145
2.6,1923,117,0,73.57786933,22.21430145
2.6,1923,117,0,73.68496933,22.10530145
2.6,1925,118,0,78.08446933,26.14510145
2.6,1925,118,0,78.19156933,26.19680145
2.6,1925,119,0,67.72386933,30.80430145
2.6,1925,119,0,67.97676933,30.83620145
2.6,1925,119,0,68.43126933,30.69150145
2.6,1925,119,0,68.86496933,30.72430145
2.6,1925,119,0,69.17216933,30.98230145
2.6,1925,119,0,69.42716933,31.34250145
2.6,1926,120,0,73.37076933,20.65240145
2.6,1926,120,0,73.37666933,20.64730145
2.6,1926,120,0,73.40726933,20.61610145
2.6,1926,121,0,72.12586933,21.49610145
2.6,1926,121,0,72.17776933,21.60520145
2.6,1926,121,0,72.12716933,21.76670145
2.6,1927,122,0,75.25546933,17.58160145
2.6,1927,122,0,74.88646933,16.84450145
2.6,1927,122,0,74.62876933,16.79890145
2.6,1928,123,0,70.60106933,22.73050145
2.6,1928,123,0,70.79026933,22.77120145
2.6,1928,124,0,75.67706933,32.26640145
2.6,1928,124,0,75.94126933,32.22490145
2.6,1928,124,0,76.09296933,32.02260145
2.6,1928,124,0,76.30236933,32.08550145
2.6,1929,125,0,83.89426933,18.83800145
2.6,1929,125,0,84.08916933,18.76640145
2.6,1929,126,0,73.40726933,20.61610145
2.6,1929,126,0,73.39456933,20.57270145
2.6,1929,127,0,73.24616933,21.44680145
2.6,1929,127,0,73.46386933,21.47390145
2.6,1929,128,0,72.59266933,22.19560145
2.6,1929,128,0,72.78456933,22.04870145
2.6,1929,129,0,73.92996933,22.81810145
2.6,1929,129,0,73.91656933,22.69230145
2.6,1929,130,0,70.03266933,23.11030145
2.6,1929,130,0,70.19506933,23.23980145
2.6,1929,131,0,77.39586933,26.49520145
2.6,1929,131,0,77.43306933,26.57630145
2.6,1930,132,0,72.91656933,21.85620145
2.6,1930,132,0,72.92156933,21.84820145
2.6,1930,132,0,72.91656933,21.85620145
2.6,1930,132,0,72.78516933,21.81910145
2.6,1931,133,0,83.80346933,19.02510145
2.6,1931,133,0,83.89426933,18.83800145
2.6,1931,134,0,70.19506933,23.23980145
2.6,1931,134,0,70.33606933,23.30540145
2.6,1932,135,0,73.15296933,21.74400145
2.6,1932,135,0,73.33766933,21.62780145
2.6,1932,136,0,75.76756933,23.16060145
2.6,1932,136,0,76.08936933,23.72170145
2.6,1933,137,0,92.61936933,26.56390145
2.6,1933,137,0,92.47636933,26.79640145
2.6,1933,137,0,92.44566933,26.85880145
2.6,1934,138,0,70.79026933,22.77120145
2.6,1934,138,0,70.85186933,22.82470145
2.6,1934,138,0,70.93796933,23.15500145
2.6,1938,139,0,71.66396933,21.05670145
2.6,1938,139,0,71.84936933,21.20480145
2.6,1938,139,0,71.97606933,21.20240145
2.6,1938,139,0,72.12586933,21.49610145
2.6,1948,140,0,71.56246933,22.55130145
2.6,1948,140,0,71.67446933,22.68080145
2.6,1953,141,0,72.74816933,22.67960145
2.6,1953,141,0,72.85746933,22.73300145
2.6,1954,142,0,76.30236933,32.08550145
2.6,1954,142,0,76.72616933,32.01480145
2.6,1954,142,0,76.96996933,31.68690145
3.3,1861,143,0,79.17236933,10.79990145
3.3,1861,143,0,79.42856933,10.76820145
3.3,1861,143,0,79.62476933,10.75360145
3.3,1861,143,0,79.83476933,10.72920145
3.3,1862,144,0,79.17236933,10.79990145
3.3,1862,144,0,78.74086933,10.83340145
3.3,1862,144,0,78.70326933,10.80230145
3.3,1865,145,0,79.65996933,13.10120145
3.3,1865,145,0,79.72696933,12.85170145
3.3,1873,146,0,77.48456933,27.25350145
3.3,1873,146,0,77.71936933,27.16240145
3.3,1873,146,0,78.01436933,27.17040145
3.3,1873,147,0,76.61966933,28.19890145
3.3,1873,147,0,76.93806933,28.43970145
3.3,1873,148,0,76.93806933,28.43970145
3.3,1873,148,0,76.84596933,28.46880145
3.3,1873,149,0,76.93806933,28.43970145
3.3,1873,149,0,77.18046933,28.67200145
3.3,1874,150,0,76.12506933,22.17350145
3.3,1874,150,0,76.33296933,21.85210145
3.3,1874,151,0,75.82846933,26.93140145
3.3,1874,151,0,75.90306933,26.86250145
3.3,1874,151,0,76.18396933,26.84880145
3.3,1874,151,0,76.52536933,27.03740145
3.3,1874,152,0,76.52536933,27.03740145
3.3,1874,152,0,76.95316933,27.18750145
3.3,1874,152,0,77.48456933,27.25350145
3.3,1874,153,0,76.61966933,28.19890145
3.3,1874,153,0,76.57876933,27.97850145
3.3,1874,153,0,76.68186933,27.78290145
3.3,1874,153,0,76.61136933,27.18710145
3.3,1874,153,0,76.52536933,27.03740145
3.3,1875,154,0,78.13556933,9.925901454
3.3,1875,154,0,77.93756933,10.11670145
3.3,1875,154,0,77.98316933,10.33560145
3.3,1875,154,0,78.69756933,10.79480145
3.3,1875,154,0,78.70326933,10.80230145
3.3,1875,155,0,85.84696933,25.68430145
3.3,1875,155,0,85.79016933,25.84210145
3.3,1875,155,0,85.92396933,26.01490145
3.3,1875,155,0,85.93936933,26.19240145
3.3,1875,156,0,75.26906933,26.88240145
3.3,1875,156,0,74.62856933,26.42900145
3.3,1875,157,0,75.26906933,26.88240145
3.3,1875,157,0,75.82846933,26.93140145
3.3,1875,158,0,75.16966933,26.94020145
3.3,1875,158,0,75.26906933,26.88240145
3.3,1876,159,0,77.68666933,8.759701454
3.3,1876,159,0,77.91716933,8.885901454
3.3,1876,159,0,77.82696933,9.093301454
3.3,1876,159,0,77.95746933,9.592801454
3.3,1876,159,0,77.98696933,9.797701454
3.3,1876,159,0,78.13556933,9.925901454
3.3,1876,160,0,77.91716933,8.885901454
3.3,1876,160,0,78.17986933,8.787301454
3.3,1876,161,0,79.68256933,12.29570145
3.3,1876,161,0,79.98776933,12.72720145
3.3,1876,161,0,80.27526933,13.11250145
3.3,1876,162,0,75.67246933,23.01890145
3.3,1876,162,0,75.88506933,22.73250145
3.3,1876,162,0,75.77746933,22.53400145
3.3,1876,163,0,75.67246933,23.01890145
3.3,1876,163,0,75.76756933,23.16060145
3.3,1876,164,0,75.11006933,23.60670145
3.3,1876,164,0,75.05326933,23.35460145
3.3,1876,164,0,75.35906933,23.05290145
3.3,1876,164,0,75.67246933,23.01890145
3.3,1876,165,0,74.62856933,26.42900145
3.3,1876,165,0,74.71416933,26.31360145
3.3,1877,166,0,79.17236933,10.79990145
3.3,1877,166,0,79.61866933,11.06170145
3.3,1877,166,0,79.70746933,11.27090145
3.3,1877,167,0,79.72296933,11.53130145
3.3,1877,167,0,79.76306933,11.75530145
3.3,1877,167,0,79.59186933,11.78510145
3.3,1877,167,0,79.50266933,11.95880145
3.3,1877,168,0,79.50266933,11.95880145
3.3,1877,168,0,79.82396933,11.91560145
3.3,1877,169,0,79.50266933,11.95880145
3.3,1877,169,0,79.68256933,12.29570145
3.3,1877,170,0,88.88076933,25.80120145
3.3,1877,170,0,88.87936933,25.80480145
3.3,1877,170,0,88.81626933,26.10420145
3.3,1877,171,0,88.88076933,25.80120145
3.3,1877,171,0,88.87936933,25.80480145
3.3,1877,171,0,88.88076933,25.80120145
3.3,1877,171,0,88.91106933,25.66240145
3.3,1877,172,0,85.79016933,25.84210145
3.3,1877,172,0,85.38036933,26.08820145
3.3,1877,173,0,88.81626933,26.10420145
3.3,1877,173,0,88.78366933,26.30450145
3.3,1877,173,0,88.78296933,26.30840145
3.3,1878,174,0,75.77746933,22.53400145
3.3,1878,174,0,75.98386933,22.41540145
3.3,1878,174,0,76.12506933,22.17350145
3.3,1878,175,0,88.98356933,24.81570145
3.3,1878,175,0,89.00966933,25.29610145
3.3,1878,176,0,89.00986933,25.30110145
3.3,1878,176,0,88.91106933,25.66240145
3.3,1878,177,0,74.62856933,26.42900145
3.3,1878,177,0,74.31756933,26.14720145
3.3,1878,178,0,88.72956933,26.49630145
3.3,1878,178,0,88.78296933,26.30840145
3.3,1878,178,0,88.78366933,26.30450145
3.3,1878,178,0,88.78296933,26.30840145
3.3,1878,179,0,88.52016933,26.66700145
3.3,1878,179,0,88.72656933,26.49910145
3.3,1878,180,0,88.50316933,26.70500145
3.3,1878,180,0,88.52016933,26.66700145
3.3,1879,181,0,79.70746933,11.27090145
3.3,1879,181,0,79.72296933,11.53130145
3.3,1879,182,0,72.41236933,24.13550145
3.3,1879,182,0,72.39866933,23.64190145
3.3,1879,182,0,72.44686933,23.45310145
3.3,1879,182,0,72.50876933,23.27320145
3.3,1879,182,0,72.56306933,23.12430145
3.3,1879,183,0,88.91106933,25.66240145
3.3,1879,183,0,89.41846933,25.77350145
3.3,1879,184,0,74.98586933,27.01070145
3.3,1879,184,0,75.16966933,26.94020145
3.3,1880,185,0,72.04566933,23.15220145
3.3,1880,185,0,71.61986933,22.75020145
3.3,1880,185,0,71.67446933,22.68080145
3.3,1880,185,0,71.79836933,22.57640145
3.3,1880,185,0,71.67246933,22.18510145
3.3,1880,185,0,71.71546933,22.02050145
3.3,1880,185,0,71.74296933,21.83610145
3.3,1880,185,0,71.94526933,21.70800145
3.3,1880,185,0,72.12716933,21.76670145
3.3,1880,186,0,74.78536933,24.47730145
3.3,1880,186,0,75.05026933,24.08870145
3.3,1880,186,0,75.11006933,23.60670145
3.3,1880,187,0,74.31756933,26.14720145
3.3,1880,187,0,73.77526933,25.85560145
3.3,1880,188,0,88.47346933,26.70520145
3.3,1880,188,0,88.47646933,26.70520145
3.3,1880,188,0,88.50336933,26.70830145
3.3,1881,189,0,79.72696933,12.85170145
3.3,1881,189,0,79.98776933,12.72720145
3.3,1881,190,0,77.57276933,13.02730145
3.3,1881,190,0,77.35706933,12.76510145
3.3,1881,190,0,76.87246933,12.50590145
3.3,1881,191,0,73.76656933,24.58010145
3.3,1881,191,0,73.95956933,24.77170145
3.3,1881,191,0,74.63656933,24.93100145
3.3,1881,192,0,74.63656933,24.93100145
3.3,1881,192,0,74.63926933,24.65950145
3.3,1881,192,0,74.78536933,24.47730145
3.3,1881,193,0,89.44466933,25.81030145
3.3,1881,193,0,89.66546933,25.81980145
3.3,1881,194,0,73.77526933,25.85560145
3.3,1881,194,0,73.60676933,25.72130145
3.3,1881,194,0,73.17666933,25.14940145
3.3,1881,194,0,73.06866933,24.76920145
3.3,1881,194,0,72.79856933,24.50070145
3.3,1881,194,0,72.55766933,24.39590145
3.3,1881,194,0,72.41236933,24.13550145
3.3,1881,195,0,74.71416933,26.31360145
3.3,1881,195,0,74.58836933,25.60330145
3.3,1881,195,0,74.63656933,24.93100145
3.3,1881,196,0,79.61666933,27.38620145
3.3,1881,196,0,80.02636933,26.96940145
3.3,1881,196,0,80.23406933,26.54510145
3.3,1881,196,0,80.32076933,26.43780145
3.3,1882,197,0,76.87246933,12.50590145
3.3,1882,197,0,76.68816933,12.46160145
3.3,1882,197,0,76.61956933,12.31490145
